ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,zero_oil_production,zero_oil_production_lower,zero_oil_production_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2015-11-29,147.13060855093983,67.81206942366298,224.84758845028847,139.24125220526025,153.72831309892905,0.0,0.0,0.0,0.014836595999768491,0.014836595999768491,0.014836595999768491,0.014836595999768491,0.014836595999768491,0.014836595999768491,0.0,0.0,0.0,0.0,0.0,0.0,149.3135259492102
2015-11-30,147.0668279863264,62.7743341612752,228.29600231318798,139.06000826434266,153.82552613677058,0.0,0.0,0.0,-0.015047066601324145,-0.015047066601324145,-0.015047066601324145,-0.015047066601324145,-0.015047066601324145,-0.015047066601324145,0.0,0.0,0.0,0.0,0.0,0.0,144.85390363077065
2015-12-01,147.00304742171303,70.33151422545095,229.63570121959617,138.89978123117703,153.8764207627567,0.0,0.0,0.0,-0.012347686327514167,-0.012347686327514167,-0.012347686327514167,-0.012347686327514167,-0.012347686327514167,-0.012347686327514167,0.0,0.0,0.0,0.0,0.0,0.0,145.18789990296102
2015-12-02,146.9392668570996,60.44295667556714,225.73263987337754,138.68241876145066,153.85691806486057,0.0,0.0,0.0,-0.036055764181525514,-0.036055764181525514,-0.036055764181525514,-0.036055764181525514,-0.036055764181525514,-0.036055764181525514,0.0,0.0,0.0,0.0,0.0,0.0,141.64125930229375
2015-12-03,146.87548629248622,64.60318128403355,218.50466337698742,138.5071688988609,153.93246386113157,0.0,0.0,0.0,-0.009023290000070565,-0.009023290000070565,-0.009023290000070565,-0.009023290000070565,-0.009023290000070565,-0.009023290000070565,0.0,0.0,0.0,0.0,0.0,0.0,145.55018618576773
2015-12-04,146.81170572787278,67.15336637384982,223.7801422323067,138.22004448718255,154.0262951486,0.0,0.0,0.0,0.019765755268845112,0.019765755268845112,0.019765755268845112,0.019765755268845112,0.019765755268845112,0.019765755268845112,0.0,0.0,0.0,0.0,0.0,0.0,149.71354997389162
2015-12-05,146.74792516325937,72.03990243763883,231.38122472050543,138.064575139985,154.09919792612436,0.0,0.0,0.0,0.037871455841647306,0.037871455841647306,0.037871455841647306,0.037871455841647306,0.037871455841647306,0.037871455841647306,0.0,0.0,0.0,0.0,0.0,0.0,152.3054827309331
2015-12-06,146.684144598646,68.06428752568672,228.22770807654308,137.96495052399032,154.1628717122732,0.0,0.0,0.0,0.014836595999869152,0.014836595999869152,0.014836595999869152,0.014836595999869152,0.014836595999869152,0.014836595999869152,0.0,0.0,0.0,0.0,0.0,0.0,148.86043799164247
2015-12-07,146.62036403403258,63.0176569251131,220.98053307039024,137.78421106570016,154.23639368949682,0.0,0.0,0.0,-0.01504706660127891,-0.01504706660127891,-0.01504706660127891,-0.01504706660127891,-0.01504706660127891,-0.01504706660127891,0.0,0.0,0.0,0.0,0.0,0.0,144.41415765130873
2015-12-08,146.55658346941917,66.40702916112387,223.5437990273228,137.55100596827185,154.2697543793837,0.0,0.0,0.0,-0.01234768632751412,-0.01234768632751412,-0.01234768632751412,-0.01234768632751412,-0.01234768632751412,-0.01234768632751412,0.0,0.0,0.0,0.0,0.0,0.0,144.74694874750662
2015-12-09,146.49280290480576,57.555491363333275,216.9473867097865,137.331815726982,154.34782490004915,0.0,0.0,0.0,-0.03605576418151953,-0.03605576418151953,-0.03605576418151953,-0.03605576418151953,-0.03605576418151953,-0.03605576418151953,0.0,0.0,0.0,0.0,0.0,0.0,141.21089294898024
2015-12-10,146.42902234019238,7.881324427176017,166.33102165905933,137.12237826405243,154.45165549734685,-0.387086,-0.387086,-0.387086,-0.3961092900000538,-0.3961092900000538,-0.3961092900000538,-0.009023290000053811,-0.009023290000053811,-0.009023290000053811,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,88.42712626561676
2015-12-11,146.365241775579,9.27972508547226,173.4514612849663,136.92605298723151,154.49581080340803,-0.387086,-0.387086,-0.387086,-0.3673202447310728,-0.3673202447310728,-0.3673202447310728,0.019765755268927224,0.019765755268927224,0.019765755268927224,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,92.60232534645067
2015-12-12,146.30146121096556,12.91537000642832,178.5631665876922,136.72633992293163,154.51077939892463,-0.387086,-0.387086,-0.387086,-0.34921454415837255,-0.34921454415837255,-0.34921454415837255,0.03787145584162743,0.03787145584162743,0.03787145584162743,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,95.2108631244744
2015-12-13,146.23768064635215,6.674917534328767,176.60072818196386,136.4606722856609,154.56398079222555,-0.387086,-0.387086,-0.387086,-0.37224940400013085,-0.37224940400013085,-0.37224940400013085,0.014836595999869159,0.014836595999869159,0.014836595999869159,-0.387086,-0.387086,-0.387086,0.0,0.0,0.0,91.8007911833861
