ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,zero_oil_production,zero_oil_production_lower,zero_oil_production_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2008-02-12,2759.06401029,0.0,853.5206740409033,2759.06401029,2759.06401029,-0.905594,-0.905594,-0.905594,-0.8865126940253523,-0.8865126940253523,-0.8865126940253523,0.028727428078457927,0.028727428078457927,0.028727428078457927,-0.009646122103810224,-0.009646122103810224,-0.009646122103810224,-0.905594,-0.905594,-0.905594,0.0,0.0,0.0,313.1187415394199
2008-02-13,2762.420812606881,0.0,743.3762401156978,2762.420812606881,2762.420812606881,-0.905594,-0.905594,-0.905594,-0.9251106557361635,-0.9251106557361635,-0.9251106557361635,-0.01061235527451579,-0.01061235527451579,-0.01061235527451579,-0.00890430046164761,-0.00890430046164761,-0.00890430046164761,-0.905594,-0.905594,-0.905594,0.0,0.0,0.0,206.87588323690377
2008-02-14,2765.777614923762,0.0,809.1760863231306,2765.777614923762,2765.777614923762,-0.905594,-0.905594,-0.905594,-0.9088182904079957,-0.9088182904079957,-0.9088182904079957,0.005450480000020555,0.005450480000020555,0.005450480000020555,-0.00867477040801621,-0.00867477040801621,-0.00867477040801621,-0.905594,-0.905594,-0.905594,0.0,0.0,0.0,252.18833128004485
2008-02-15,2769.1344172406425,0.0,783.5071257906803,2769.1344172406425,2769.1344172406425,-0.905594,-0.905594,-0.905594,-0.9123245306449478,-0.9123245306449478,-0.9123245306449478,0.0022920367552022054,0.0022920367552022054,0.0022920367552022054,-0.009022567400149967,-0.009022567400149967,-0.009022567400149967,-0.905594,-0.905594,-0.905594,0.0,0.0,0.0,242.78515973880232
2008-02-16,2772.4912195575234,0.0,743.8613558145673,2772.4912195575234,2772.4912195575234,-0.905594,-0.905594,-0.905594,-0.9263641791685653,-0.9263641791685653,-0.9263641791685653,-0.01077760717462728,-0.01077760717462728,-0.01077760717462728,-0.009992571993937998,-0.009992571993937998,-0.009992571993937998,-0.905594,-0.905594,-0.905594,0.0,0.0,0.0,204.15466670006373
2008-02-17,2775.8480218744044,0.0,768.4186300004066,2775.8480218744044,2775.8480218744044,-0.905594,-0.905594,-0.905594,-0.9161495903062818,-0.9161495903062818,-0.9161495903062818,0.0010520357920323147,0.0010520357920323147,0.0010520357920323147,-0.011607626098314193,-0.011607626098314193,-0.011607626098314193,-0.905594,-0.905594,-0.905594,0.0,0.0,0.0,232.75599388166592
2008-02-18,2779.2048241912853,0.0,733.0824722763564,2779.2048241912853,2779.2048241912853,-0.905594,-0.905594,-0.905594,-0.9355933875930279,-0.9355933875930279,-0.9355933875930279,-0.016132018176451098,-0.016132018176451098,-0.016132018176451098,-0.013867369416576803,-0.013867369416576803,-0.013867369416576803,-0.905594,-0.905594,-0.905594,0.0,0.0,0.0,178.99916791127515
2008-02-19,2782.561626508166,0.0,903.3281272195435,2782.561626508166,2782.561626508166,-0.905594,-0.905594,-0.905594,-0.8936144102605966,-0.8936144102605966,-0.8936144102605966,0.028727428078452542,0.028727428078452542,0.028727428078452542,-0.01674783833904911,-0.01674783833904911,-0.01674783833904911,-0.905594,-0.905594,-0.905594,0.0,0.0,0.0,296.0244596223047
2008-02-20,2785.9184288250467,0.0,736.8746907129934,2785.9184288250467,2785.9184288250467,-0.905594,-0.905594,-0.905594,-0.93640820100585,-0.93640820100585,-0.93640820100585,-0.010612355274407853,-0.010612355274407853,-0.010612355274407853,-0.02020184573144212,-0.02020184573144212,-0.02020184573144212,-0.905594,-0.905594,-0.905594,0.0,0.0,0.0,177.1615647399406
2008-02-21,2789.2752311419276,0.0,787.1996367540347,2789.2752311419276,2789.2752311419276,-0.905594,-0.905594,-0.905594,-0.92430365560167,-0.92430365560167,-0.92430365560167,0.00545047999999755,0.00545047999999755,0.00545047999999755,-0.024160135601667628,-0.024160135601667628,-0.024160135601667628,-0.905594,-0.905594,-0.905594,0.0,0.0,0.0,211.13793851825073
