ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,zero_oil_production,zero_oil_production_lower,zero_oil_production_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2014-04-22,1132.8010734900001,945.2384900519215,1265.5481676197012,1132.8010734900001,1132.8010734900001,0.0,0.0,0.0,-0.02599577929110801,-0.02599577929110801,-0.02599577929110801,-0.02599577929110801,-0.02599577929110801,-0.02599577929110801,0.0,0.0,0.0,0.0,0.0,0.0,1103.353026802824
2014-04-23,1124.4293409285112,926.5614740830272,1252.4119202424733,1124.4293409285112,1124.4293409285112,0.0,0.0,0.0,-0.03794457377441851,-0.03794457377441851,-0.03794457377441851,-0.03794457377441851,-0.03794457377441851,-0.03794457377441851,0.0,0.0,0.0,0.0,0.0,0.0,1081.7633488475285
2014-04-24,1116.0576083670228,958.1591788415958,1291.462296695485,1116.0576083670228,1116.0576083670228,0.0,0.0,0.0,0.0021749699999975454,0.0021749699999975454,0.0021749699999975454,0.0021749699999975454,0.0021749699999975454,0.0021749699999975454,0.0,0.0,0.0,0.0,0.0,0.0,1118.48500018349
2014-04-25,1107.685875805534,961.0528418804995,1296.1235535291655,1107.685875805534,1107.685875805534,0.0,0.0,0.0,0.017474676214767806,0.017474676214767806,0.017474676214767806,0.017474676214767806,0.017474676214767806,0.017474676214767806,0.0,0.0,0.0,0.0,0.0,0.0,1127.042327832907
2014-04-26,1099.3141432440455,1028.7010247891938,1372.832678924227,1099.3141432440455,1099.3141432440455,0.0,0.0,0.0,0.089992300428142,0.089992300428142,0.089992300428142,0.089992300428142,0.089992300428142,0.089992300428142,0.0,0.0,0.0,0.0,0.0,0.0,1198.243951887769
2014-04-27,1090.9424106825566,920.4355682615433,1243.6931150168643,1090.9424106825566,1090.9424106825566,0.0,0.0,0.0,-0.009545827986861977,-0.009545827986861977,-0.009545827986861977,-0.009545827986861977,-0.009545827986861977,-0.009545827986861977,0.0,0.0,0.0,0.0,0.0,0.0,1080.5284620866082
2014-04-28,1082.570678121068,880.4231442340757,1206.7196453181546,1082.570678121068,1082.570678121068,0.0,0.0,0.0,-0.036155765590679415,-0.036155765590679415,-0.036155765590679415,-0.036155765590679415,-0.036155765590679415,-0.036155765590679415,0.0,0.0,0.0,0.0,0.0,0.0,1043.4295064475798
2014-04-29,1074.1989455595792,883.1101850300963,1200.40584410455,1074.1989455595792,1074.1989455595792,0.0,0.0,0.0,-0.02599577929105508,-0.02599577929105508,-0.02599577929105508,-0.02599577929105508,-0.02599577929105508,-0.02599577929105508,0.0,0.0,0.0,0.0,0.0,0.0,1046.2743068561283
2014-04-30,1065.8272129980908,851.1589398998036,1184.4196123977574,1065.8272129980908,1065.8272129980908,0.0,0.0,0.0,-0.03794457377445598,-0.03794457377445598,-0.03794457377445598,-0.03794457377445598,-0.03794457377445598,-0.03794457377445598,0.0,0.0,0.0,0.0,0.0,0.0,1025.384853683662
2014-05-01,1057.4554804366019,875.2674977487386,1239.6176253504696,1057.4554804366019,1057.4554804366019,0.0,0.0,0.0,0.0021749700000420445,0.0021749700000420445,0.0021749700000420445,0.0021749700000420445,0.0021749700000420445,0.0021749700000420445,0.0,0.0,0.0,0.0,0.0,0.0,1059.7554143829313
2014-05-02,1049.0837478751134,909.5270240629775,1243.5135135259989,1049.0837478751134,1049.0837478751134,0.0,0.0,0.0,0.017474676214825447,0.017474676214825447,0.017474676214825447,0.017474676214825447,0.017474676214825447,0.017474676214825447,0.0,0.0,0.0,0.0,0.0,0.0,1067.4161466914666
2014-05-03,1040.7120153136248,965.3757269616001,1305.6870500486893,1040.7120153136248,1040.7120153136248,0.0,0.0,0.0,0.08999230042822025,0.08999230042822025,0.08999230042822025,0.08999230042822025,0.08999230042822025,0.08999230042822025,0.0,0.0,0.0,0.0,0.0,0.0,1134.368083654987
