Date,Oil
01-02-2008,49091.06
01-03-2008,83361.26
01-04-2008,74532.45
01-05-2008,125478.56
01-06-2008,143786.85
01-07-2008,166279.69
01-08-2008,165443.66
01-09-2008,192263.21
01-10-2008,237174.29
01-11-2008,250325.17
01-12-2008,276638.95
01-01-2009,269249.82
01-02-2009,235785.99
01-03-2009,183603.15
01-04-2009,237899.74
01-05-2009,257214.05
01-06-2009,219083.74
01-07-2009,170977.07
01-08-2009,224907.77
01-09-2009,180448.69
01-10-2009,223646.97
01-11-2009,234059.18
01-12-2009,247515.87
01-01-2010,231880.08
01-02-2010,165118.98
01-03-2010,168560.86
01-04-2010,159289.42
01-05-2010,164922.84
01-06-2010,144927.19
01-07-2010,133639.94
01-08-2010,68531.09
01-09-2010,106718.14
01-10-2010,130185.89
01-11-2010,107023.93
01-12-2010,109104.19
01-01-2011,106075
01-02-2011,73223.8
01-03-2011,94105.01
01-04-2011,89633.96
01-05-2011,88326.33
01-06-2011,53220.57
01-07-2011,32673.73
01-08-2011,86110.43
01-09-2011,81052.3
01-10-2011,34454.73
01-11-2011,56832.94
01-12-2011,52256.6
01-01-2012,45527.08
01-02-2012,64159.92
01-03-2012,61425.47
01-04-2012,60598.14
01-05-2012,57467.11
01-06-2012,52552.93
01-07-2012,54167.64
01-08-2012,21688.08
01-09-2012,2669.01
01-10-2012,53556.87
01-11-2012,53950.54
01-12-2012,46443.54
01-01-2013,47593.37
01-02-2013,41682.91
01-03-2013,25122.33
01-04-2013,35226.76
01-05-2013,43974.93
01-06-2013,34197.83
01-07-2013,38387.49
01-08-2013,62310.15
01-09-2013,50869.33
01-10-2013,60860.62
01-11-2013,61805.57
01-12-2013,55981.24
01-01-2014,61910.82
01-02-2014,56956.1
01-03-2014,62162.76
01-04-2014,76198.75
01-05-2014,83827.16
01-06-2014,79538.14
01-07-2014,74981.25
01-08-2014,49375.58
01-09-2014,62389.42
01-10-2014,64514.58
01-11-2014,52919.61
01-12-2014,18333.32
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
