ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2014-04-01,12983.951435849996,11142.345130489468,11142.345132568276,12983.951435849996,12983.951435849996,-0.14183712204271126,-0.14183712204271126,-0.14183712204271126,-0.14183712204271126,-0.14183712204271126,-0.14183712204271126,0.0,0.0,0.0,11142.345131446704
2014-05-01,12542.937560694047,24901.8795673194,24901.879569390156,12542.937560694047,12542.937560694047,0.9853307447206899,0.9853307447206899,0.9853307447206899,0.9853307447206899,0.9853307447206899,0.9853307447206899,0.0,0.0,0.0,24901.879568357825
2014-06-01,12087.19534913566,19617.92580691285,19617.925809050408,12087.19534913566,12087.19534913566,0.6230337345672985,0.6230337345672985,0.6230337345672985,0.6230337345672985,0.6230337345672985,0.6230337345672985,0.0,0.0,0.0,19617.92580795213
2014-07-01,11645.140931963932,15085.646409606357,15085.646411755024,11645.140931963932,11645.140931963932,0.29544558531228926,0.29544558531228926,0.29544558531228926,0.29544558531228926,0.29544558531228926,0.29544558531228926,0.0,0.0,0.0,15085.646410652113
2014-08-01,11098.442897517507,6970.362423245919,6970.3624253272665,11098.442897517507,11098.442897517507,-0.3719513188776915,-0.3719513188776915,-0.3719513188776915,-0.3719513188776915,-0.3719513188776915,-0.3719513188776915,0.0,0.0,0.0,6970.362424297122
2014-09-01,10551.573752915574,9168.456370822525,9168.45637286276,10551.573752915574,10551.573752915574,-0.13108162000119017,-0.13108162000119017,-0.13108162000119017,-0.13108162000119017,-0.13108162000119017,-0.13108162000119017,0.0,0.0,0.0,9168.456371821363
2014-10-01,10022.323584226815,9468.006419212667,9468.006421281263,10022.323584226815,10022.323584226815,-0.055308248557580875,-0.055308248557580875,-0.055308248557580875,-0.055308248557580875,-0.055308248557580875,-0.055308248557580875,0.0,0.0,0.0,9468.006420305894
2014-11-01,9475.443728700042,6710.322914137934,6710.322916233038,9475.443728700042,9475.443728700042,-0.29181966488415,-0.29181966488415,-0.29181966488415,-0.29181966488415,-0.29181966488415,-0.29181966488415,0.0,0.0,0.0,6710.3229151621745
2014-12-01,8946.174038892354,120.36947270513892,120.36947475854414,8946.174038892354,8946.174038892354,-0.9865451450866933,-0.9865451450866933,-0.9865451450866933,-0.9865451450866933,-0.9865451450866933,-0.9865451450866933,0.0,0.0,0.0,120.36947372248734
2015-01-01,8399.171973050063,10875.491751049463,10875.491753209175,8399.171973050063,8399.171973050063,0.2948290363594541,0.2948290363594541,0.2948290363594541,0.2948290363594541,0.2948290363594541,0.2948290363594541,0.0,0.0,0.0,10875.491752081747
2015-02-01,7141.031703606876,9586.609822770775,9586.609824832616,7141.031703606876,7141.031703606876,0.3424684585882145,0.3424684585882145,0.3424684585882145,0.3424684585882145,0.3424684585882145,0.3424684585882145,0.0,0.0,0.0,9586.609823870695
2015-03-01,5521.317876850441,5879.252560661227,5879.2525628672065,5521.317876850441,5521.317876850441,0.0648277626720053,0.0648277626720053,0.0648277626720053,0.0648277626720053,0.0648277626720053,0.0648277626720053,0.0,0.0,0.0,5879.2525618076015
2015-04-01,3728.029796226514,3924.1407596590643,3924.1407616942233,3728.029796226514,3728.029796226514,0.052604452003847335,0.052604452003847335,0.052604452003847335,0.052604452003847335,0.052604452003847335,0.052604452003847335,0.0,0.0,0.0,3924.1407607110245
2015-05-01,1992.5868772962435,3832.6716964259585,3832.6716984339173,1992.5868772962435,1992.5868772962435,0.9234652908208478,0.9234652908208478,0.9234652908208478,0.9234652908208478,0.9234652908208478,0.9234652908208478,0.0,0.0,0.0,3832.671697424424
2015-06-01,2942.9974812516075,6344.538601747074,6344.5386038546785,2942.9974812516075,2942.9974812516075,1.155808369928483,1.155808369928483,1.155808369928483,1.155808369928483,1.155808369928483,1.155808369928483,0.0,0.0,0.0,6344.538602760659
2015-07-01,3910.0836526568437,2093.940689907617,2093.94069204795,3910.0836526568437,3910.0836526568437,-0.46447675370271435,-0.46447675370271435,-0.46447675370271435,-0.46447675370271435,-0.46447675370271435,-0.46447675370271435,0.0,0.0,0.0,2093.9406909647414
2015-08-01,4909.424443619593,2870.993884424909,2870.9938864190963,4909.424443619593,4909.424443619593,-0.41520764432611434,-0.41520764432611434,-0.41520764432611434,-0.41520764432611434,-0.41520764432611434,-0.41520764432611434,0.0,0.0,0.0,2870.9938853872573
2015-09-01,5366.995787331525,6460.294866120605,6460.294868260955,5366.995787331525,5366.995787331525,0.20370783268285964,0.20370783268285964,0.20370783268285964,0.20370783268285964,0.20370783268285964,0.20370783268285964,0.0,0.0,0.0,6460.294867186868
2015-10-01,5109.273351591274,4085.783853961859,4085.7838560252744,5109.273351591274,5109.273351591274,-0.2003199723649609,-0.2003199723649609,-0.2003199723649609,-0.2003199723649609,-0.2003199723649609,-0.2003199723649609,0.0,0.0,0.0,4085.783854995479
2015-11-01,4842.897575412146,3332.0579304090543,3332.057932411784,4842.897575412146,4842.897575412146,-0.31197018323347403,-0.31197018323347403,-0.31197018323347403,-0.31197018323347403,-0.31197018323347403,-0.31197018323347403,0.0,0.0,0.0,3332.0579314298716
2015-12-01,4585.082999867909,2949.468602659081,2949.4686047276264,4585.082999867909,4585.082999867909,-0.35672514461011273,-0.35672514461011273,-0.35672514461011273,-0.35672514461011273,-0.35672514461011273,-0.35672514461011273,0.0,0.0,0.0,2949.4686036906596
