ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,zero_oil_production,zero_oil_production_lower,zero_oil_production_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2008-02-12,5062.46851152,2497.7861272947616,3761.7709155778507,5062.46851152,5062.46851152,-0.37434,-0.37434,-0.37434,-0.38082170699375906,-0.38082170699375906,-0.38082170699375906,0.013384105653025186,0.013384105653025186,0.013384105653025186,-0.019865812646784227,-0.019865812646784227,-0.019865812646784227,-0.37434,-0.37434,-0.37434,0.0,0.0,0.0,3134.570611360799
2008-02-13,5060.5894550423345,2499.2496386301573,3751.347267883447,5060.5894550423345,5060.5894550423345,-0.37434,-0.37434,-0.37434,-0.38162293656676594,-0.38162293656676594,-0.38162293656676594,0.014186980496304846,0.014186980496304846,0.014186980496304846,-0.021469917063070804,-0.021469917063070804,-0.021469917063070804,-0.37434,-0.37434,-0.37434,0.0,0.0,0.0,3129.3524464502693
2008-02-14,5058.710398564669,2521.5833981669007,3719.9238248621486,5058.710398564669,5058.710398564669,-0.37434,-0.37434,-0.37434,-0.3815989220786639,-0.3815989220786639,-0.3815989220786639,0.014969250000020598,0.014969250000020598,0.014969250000020598,-0.022228172078684494,-0.022228172078684494,-0.022228172078684494,-0.37434,-0.37434,-0.37434,0.0,0.0,0.0,3128.3119633642627
2008-02-15,5056.831342087003,2455.1927369120435,3705.024927835056,5056.831342087003,5056.831342087003,-0.37434,-0.37434,-0.37434,-0.3995348640407531,-0.3995348640407531,-0.3995348640407531,-0.0029736773579083116,-0.0029736773579083116,-0.0029736773579083116,-0.022221186682844788,-0.022221186682844788,-0.022221186682844788,-0.37434,-0.37434,-0.37434,0.0,0.0,0.0,3036.450919349253
2008-02-16,5054.952285609337,2232.0887448812073,3481.6726151916664,5054.952285609337,5054.952285609337,-0.37434,-0.37434,-0.37434,-0.4333939956595391,-0.4333939956595391,-0.4333939956595391,-0.03750964954937011,-0.03750964954937011,-0.03750964954937011,-0.021544346110168998,-0.021544346110168998,-0.021544346110168998,-0.37434,-0.37434,-0.37434,0.0,0.0,0.0,2864.1663166807866
2008-02-17,5053.073229131672,2389.1638231599495,3666.033819618695,5053.073229131672,5053.073229131672,-0.37434,-0.37434,-0.37434,-0.4034915142192699,-0.4034915142192699,-0.4034915142192699,-0.008845708073866913,-0.008845708073866913,-0.008845708073866913,-0.02030580614540294,-0.02030580614540294,-0.02030580614540294,-0.37434,-0.37434,-0.37434,0.0,0.0,0.0,3014.201060448478
2008-02-18,5051.194172654005,2529.7146965686816,3758.450581424372,5051.194172654005,5051.194172654005,-0.37434,-0.37434,-0.37434,-0.38617549079899544,-0.38617549079899544,-0.38617549079899544,0.006788698831803509,0.006788698831803509,0.006788698831803509,-0.01862418963079892,-0.01862418963079892,-0.01862418963079892,-0.37434,-0.37434,-0.37434,0.0,0.0,0.0,3100.5467839083194
2008-02-19,5049.31511617634,2538.023172216706,3801.382477471989,5049.31511617634,5049.31511617634,-0.37434,-0.37434,-0.37434,-0.37758192710314126,-0.37758192710314126,-0.37758192710314126,0.013384105653013475,0.013384105653013475,0.013384105653013475,-0.016626032756154704,-0.016626032756154704,-0.016626032756154704,-0.37434,-0.37434,-0.37434,0.0,0.0,0.0,3142.7849840594554
2008-02-20,5047.4360596986735,2548.4379945213077,3795.220184975311,5047.4360596986735,5047.4360596986735,-0.37434,-0.37434,-0.37434,-0.37459605410098656,-0.37459605410098656,-0.37459605410098656,0.014186980496343125,0.014186980496343125,0.014186980496343125,-0.014443034597329665,-0.014443034597329665,-0.014443034597329665,-0.37434,-0.37434,-0.37434,0.0,0.0,0.0,3156.686428408519
2008-02-21,5045.557003221008,2552.495188507103,3778.815013926464,5045.557003221008,5045.557003221008,-0.37434,-0.37434,-0.37434,-0.3715799181330037,-0.3715799181330037,-0.3715799181330037,0.014969250000005964,0.014969250000005964,0.014969250000005964,-0.01220916813300963,-0.01220916813300963,-0.01220916813300963,-0.37434,-0.37434,-0.37434,0.0,0.0,0.0,3170.729345028742
